GENESIS-Tabelle: Temporär
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen
;;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt;männlich;Insgesamt
31.12.2002;unter 1 Jahr;37398;73095;83835;163265;18225;34921;4033;7878;15943;31463;9068;17551;12785;25063;8664;16949
31.12.2002;1-Jährige;38888;76345;86345;168335;19802;36458;4195;8223;16401;31779;9218;17889;13293;26147;8843;17292
31.12.2002;2-Jährige;41648;80836;90412;176581;21300;38794;4426;8703;16772;32827;9438;18269;14147;27862;8864;17379
31.12.2002;3-Jährige;42122;81831;91295;178391;20001;39112;4553;9029;15870;30880;9148;17566;14626;28575;8671;16728
31.12.2002;4-Jährige;43669;84984;94626;184248;20866;40860;4725;9201;15101;29531;8578;16916;14919;29110;8407;16476
31.12.2002;5-Jährige;45376;88746;98723;192448;21944;42766;5057;9958;14530;28499;8560;16586;15824;30553;8412;16419
31.12.2002;6-Jährige;44686;86805;97597;190485;21869;42308;5123;10083;13705;26798;8045;15727;15613;30339;7650;15056
31.12.2002;7-Jährige;43259;84656;95107;185733;21075;41364;4996;9821;12262;24046;7440;14394;14943;29122;7188;13790
31.12.2002;8-Jährige;44266;86535;97678;190290;21827;42563;5175;10212;11880;23104;7275;14165;15249;29535;6549;12867
31.12.2002;9-Jährige;46586;90488;101881;199034;23194;44970;5627;10863;12273;23828;7381;14508;15768;30813;6953;13566
31.12.2002;10-Jährige;46697;91317;104746;203996;23301;46037;5719;11251;13114;25535;8343;16210;16005;31352;7522;14849
31.12.2002;11-Jährige;47633;92819;106743;208587;24113;47179;6054;11603;16023;31045;9823;19058;16496;32015;8922;17504
31.12.2002;12-Jährige;49204;95592;110051;214308;25139;48855;6253;12135;24650;48103;15530;30047;16983;32959;14138;27675
31.12.2002;13-Jährige;47568;92395;106474;208196;24386;47558;6017;11728;26679;51672;16507;31995;16389;31972;14989;29318
31.12.2002;14-Jährige;48580;94188;108487;211871;25071;48917;6097;11890;28292;54960;17663;34410;16729;32363;16304;32057
31.12.2002;15-Jährige;46868;90904;105867;205775;24134;47337;6066;11749;29705;57673;18371;35819;15949;30753;17180;33365
31.12.2002;16-Jährige;46154;89378;103142;201413;23823;46376;6006;11705;29034;56705;18109;35234;15058;29499;17082;33103
31.12.2002;17-Jährige;43717;85585;98242;191937;22696;44053;5696;11018;29858;57643;18267;35269;14087;27852;17383;33468
31.12.2002;18-Jährige;43908;84967;97860;191177;22645;44399;5732;11084;29571;57322;18334;35254;14360;27812;17374;33273
31.12.2002;19-Jährige;44279;86520;98972;194489;22735;44431;5765;11252;29891;57432;18614;35281;14561;28530;17482;33209
31.12.2002;20-Jährige;45379;89405;102724;201453;23547;46141;6011;11798;30893;58615;18361;34286;14890;29689;18239;34315
31.12.2002;21-Jährige;45570;90010;102026;202452;23691;46580;6192;12020;30321;57215;17999;33187;15119;30092;17515;33197
31.12.2002;22-Jährige;45605;90485;103707;206471;23294;46530;6177;12049;30934;58218;17897;32811;15137;30372;18130;33558
31.12.2002;23-Jährige;44162;87299;98945;197515;22291;44363;5678;11411;30103;55867;16649;30360;14443;28928;17179;31545
31.12.2002;24-Jährige;44223;86882;99089;197548;22172;43969;5572;11144;29741;55423;16332;29988;14852;29375;16118;29718
31.12.2002;25-Jährige;44045;86779;100175;199379;21890;43315;5681;11202;28896;53545;15233;28180;14804;29221;15727;28775
31.12.2002;26-Jährige;44282;87208;101763;202936;21965;43210;5557;10792;24904;46727;13330;24745;14912;29696;13814;25405
31.12.2002;27-Jährige;43251;85166;100368;199360;21468;42243;5489;10683;23900;44342;12624;23231;14945;29248;13141;23649
31.12.2002;28-Jährige;44263;87583;101967;203623;21840;43137;5570;10921;23692;43711;12381;23223;15226;29717;13329;24142
31.12.2002;29-Jährige;45409;89836;104535;207516;22429;44243;5412;10795;23841;44164;13055;24244;15513;30578;13406;24666
31.12.2002;30-Jährige;50358;99548;115651;228546;24496;48637;6101;11998;26298;48662;14858;27840;17474;34269;15302;27613
31.12.2002;31-Jährige;55385;109768;126381;250280;27246;53776;6756;13390;30502;56998;17690;33307;19872;38924;16959;31380
31.12.2002;32-Jährige;59060;116475;134975;265011;29022;56846;7047;13794;30933;57900;17781;33814;21337;41462;17365;32512
31.12.2002;33-Jährige;64474;126753;147524;289541;31770;61990;7877;15570;30668;58135;18131;34908;24038;46415;17395;32873
31.12.2002;34-Jährige;67910;132981;154457;303194;33489;65284;8377;16400;31532;59642;18878;36028;25511;49648;17599;33489
31.12.2002;35-Jährige;69453;136726;158593;310761;34254;66922;8738;17082;32448;61774;19282;37419;26303;51053;17985;34504
31.12.2002;36-Jährige;71690;139644;162028;316950;35739;69136;8972;17548;33880;65429;20387;39452;26575;51187;19331;37061
31.12.2002;37-Jährige;71672;139022;162778;317559;35980;69800;9005;17917;35763;68538;21347;41232;25849;50210;19857;38342
31.12.2002;38-Jährige;71685;139526;165109;321848;36833;71181;9131;18322;36796;71367;22088;43187;25808;50205;20923;40478
31.12.2002;39-Jährige;71195;138611;162464;317212;36844;71592;9491;18707;37733;72473;22990;44696;24981;48960;21316;41433
31.12.2002;40-Jährige;68355;134083;155747;305057;35534;69497;9282;18314;37260;71532;22462;44170;24005;47287;21176;41188
31.12.2002;41-Jährige;67883;132842;152228;300048;35412;69375;9480;18535;36668;71446;22611;44209;23247;45911;21658;42289
31.12.2002;42-Jährige;65643;128668;150439;296715;34778;68519;8954;17931;35452;68648;21983;42961;22217;44249;20898;40690
31.12.2002;43-Jährige;63178;124259;145755;287895;33839;66274;9390;18238;34941;68221;21395;42113;21550;42809;20600;40317
31.12.2002;44-Jährige;60126;117870;139895;275870;32213;62974;9065;17729;32302;63244;20291;39738;20418;40445;19288;37653
31.12.2002;45-Jährige;58878;116214;137771;271549;32256;62803;8789;17165;32252;63145;19843;39338;19897;39951;19264;37665
31.12.2002;46-Jährige;57308;112554;133197;263084;30857;60661;8515;16678;32809;64214;19915;39774;18949;37825;19602;38403
31.12.2002;47-Jährige;55052;108143;127589;254169;30000;58907;8118;16006;33682;66309;20907;40875;18662;37103;19683;38747
31.12.2002;48-Jährige;53639;106680;125055;250902;29815;58528;8203;16164;33363;66020;20659;40322;18477;36973;19391;38218
31.12.2002;49-Jährige;52096;103265;118913;239751;28688;56758;8037;15846;33570;66521;20444;40519;17960;35662;19406;38089
31.12.2002;50-Jährige;52999;104845;118651;239727;28827;56630;8000;15654;34325;67672;20401;40330;17958;35865;19155;37590
31.12.2002;51-Jährige;52523;103732;114970;232227;28375;55612;7622;15133;34831;69358;19355;38605;18083;36022;19143;37605
31.12.2002;52-Jährige;53409;105090;117120;235650;28964;56698;7936;15627;33432;66556;19211;38120;18325;36526;18013;35804
31.12.2002;53-Jährige;52855;103771;117236;234697;28160;55453;8190;15949;29383;58453;16898;34013;18451;36677;16324;31978
31.12.2002;54-Jährige;49272;96827;108368;217263;24539;48123;7179;14097;23467;46968;14319;28831;18163;36270;13940;27702
